,LABEL,TEXT,PROCESSED_TEXT
72,-1,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,working time try add zero saving checking
73,-1,how's things? Just a quick question.,thing quick question
74,-1,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,die accidentally delete e msg suppose 2 e sim archive haiz sad
75,-1,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",mean post write like time ' ve ritten stuff let sit feel time angry left hit send stop check phone get car say sleep bored time clean fold laundry etc bed
76,-1,Sorry i missed your call. Can you please call back.,sorry miss
77,-1,How are you. Its been ages. How's abj,age abj
78,-1,As if i wasn't having enough trouble sleeping.,have trouble sleep
79,-1,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,hello go village pub 8 come accordingly ok
80,-1,Thnx dude. u guys out 2nite?,thnx dude u guy 2nite
81,0,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",noida commercial wave sec-18 silver 11500/- psf gold 12500/- psf logix sec-124 8200/- psf good deal ph_number /3
82,-1,So are you guys asking that i get that slippers again or its gone with last year,guy ask slipper go year
83,-1,U guys never invite me anywhere :(,u guy invite
84,0,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,hmv bonus special 500 pound genuine hmv voucher won answer 4 easy question send hmv 86688 info www.100percent real.com
85,-1,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,computer fry essential spare idiot roommate looovvve leave thing run /7
86,-1,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",hey sexy bun tell adore loverboy hope remember thank sister law meatballs grins love babe
87,0,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",welcome uk mobile date msg free giving free calling ph_number future mg bill 150p daily cancel send stop 89123
88,-1,"Velly good, yes please!",velly good yes
89,-1,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",march ending ready sure problem capital complete far work lady
90,1,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,win guarantee £ 200 award £ 1000 cashto claim ur award free ph_number 18 + 2 stop getstop 88333 php
91,-1,Jokin only lar... :-) depends on which phone my father can get lor...,jokin lar depend phone father lor
92,-1,I thought slide is enough.,thought slide
93,-1,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,m gonnamissu much!!i il send u postcard buttheres aboutas chance merememberin asthere ofsi breakin contract luv yaxx
94,-1,Dude we should go sup again,dude sup
95,1,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",contact dating service know find land line ph_number pobox45w2tg150p
96,-1,Shopping lor. Them raining mah hard 2 leave orchard.,shop lor rain mah hard 2 leave orchard
97,-1,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,oga leave phone home see ur message hope good great weekend
98,-1,Need a coffee run tomo?Can't believe it's that time of week already,need coffee run tomo?can't believe time week
99,-1,Oooh bed ridden ey? What are YOU thinking of?,oooh bed ride ey thinking
100,-1,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,ok problem taxi c ing tomorrow tuesday tuesday think r go cinema
101,-1,Ok... C ya...,ok c ya
102,-1,Are you this much buzy�.I don�t think so,buzy .i don t think
103,0,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,ask 3mobile 0870 chatline inclu free min india cust servs sed yes l8er got mega bill 3 nt giv shit bailiff day o £ 250 3 want £ 800
104,-1,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,2 pick tuesday evening 8 ok
105,-1,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,night worrying appt shame miss girl night quiz popcorn hair
106,-1,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker
107,-1,"Sir, i am waiting for your call.",sir wait
108,-1,Yay! You better not have told that to 5 other girls either.,yay well tell 5 girl
109,-1,But i'll b going 2 sch on mon. My sis need 2 take smth.,b go 2 sch mon si need 2 smth
110,-1,Yo theres no class tmrw right?,yo s class tmrw right
111,-1,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",painful personal thought- try everybody happy time recognise
112,0,RCT' THNQ Adrian for U text. Rgds Vatian,rct thnq adrian u text rgd vatian
113,-1,Not sure I have the stomach for it ...,sure stomach
114,1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate",2nd time try 2 contact u. u win 750 pound prize 2 claim easy ph_number 10p min bt national rate
115,0,	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,enjoy jamster videosound gold club credit 2 new videosounds+2 logos+musicnews fun jamster.co.uk 16+only help ph_number
116,-1,I'll let you know when it kicks in,let know kick
117,-1,"Yup, no need. I'll jus wait 4 e rain 2 stop.",yup need jus wait 4 e rain 2 stop
118,0,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),think live good life perfect partner txt age join mobile community 100p sm
119,1,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,dear paytm customer paytm kyc expire contact customer care no- ph_number immediately account block 24 hr thank paytm team
120,0,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",0a$network allow company bill sms responsible supplier shop guarantee sell b. g.
121,-1,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,plan go join company jan 5 only.don know happen
122,-1,"Arms fine, how's Cardiff and uni? ",arms fine cardiff uni
123,0,oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha,oor step service passport assistance pan card income tax return vat return service tax return contact m s ons ph_number jwala heri mkt paschim viha
124,-1,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),' m sorry wo b able 2 friday.hope u find alternative.hope yr term go ok
125,-1,Ok then i will come to ur home after half an hour,ok come ur home half hour
126,-1,ITS A LAPTOP TAKE IT WITH YOU.,laptop
127,-1,S.i think he is waste for rr..,s.i think waste rr
128,-1,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,seriously hit light armand shit and/or vomit
129,0,PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert,pl battle royale gilchrist vs warne today 8 pm click http://ipl.onmix.mobi/?src=504 ipl mobile stop mix alert click http://onmix.mobi/alert
130,-1,Dun need to use dial up juz open da browser n surf...,dun need use dial juz open da browser n surf
131,-1,You call him and tell now infront of them. Call him now.,tell infront
132,-1,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theory argument win d situation lose person not argue ur friend kick ' m correct
133,-1,"I noe la... U wana pei bf oso rite... K lor, other days den...",noe la u wana pei bf oso rite k lor day den
134,-1,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,hey give photo register driving ah tmr wanna meet yck
135,-1,And by when you're done I mean now,mean
137,-1,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,kind take garage centre exhaust need replace order n take fix tomo morning
138,0,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",freemsg hey u get 1 video pic fone reply wild txt ill send u pic hurry m bored work xxx 18 150p rcvd stop2stop
139,-1,"[…] anyway, many good evenings to u! s",good evening u s
140,-1,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,ey calm downon theacusation itxt u cos iwana know wotu r doin thew end haventcn u age ring ur up4 nething sat.love j xxx
141,-1,Ü takin linear algebra today?,u takin linear algebra today
142,-1,"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",jan fast approach wish u happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy day happy independence day happy friendship mother father teachers childrens day happy birthday 4 u. happy ganesh festival happy dasara happy diwali happy christmas good morning afternoon evening night rememberi wish u raj
143,-1,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,tot ur paper end long ago wat u copy jus get use u happy lar haf 2 study
144,-1,Jus finish bathing...,jus finish bathe
145,-1,"I think your mentor is , but not 100 percent sure.",think mentor 100 percent sure
146,-1,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,hamster dead hey tmr meet 1 pm orchard mrt
147,-1,Ok set let u noe e details later...,ok set let u noe e detail later
148,-1,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,hope text meet smile let text reason smile beautiful day
149,-1,Ok..lets find out�,ok lets find
150,-1,You busy or can I come by at some point and figure out what we're doing tomorrow,busy come point figure tomorrow
151,-1,Thats cool. I want to please you...,s cool want
152,-1,May i call You later Pls,later pls
153,1,	Please CALL 08712402779 immediately as there is an urgent message waiting for you,ph_number immediately urgent message waiting
154,0,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",text82228 > > ringtone logo game www.txt82228.com question email
155,-1,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",mobile number.pls sm ur mail id.convey regard achan amma.rakhesh.qatar
156,-1,Good Morning plz call me sir,good morning plz sir
157,-1,Lol alright i was thinkin that too haha,lol alright thinkin haha
158,0,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,87077 kick new season 2wk free goal news ur mobile txt ur club 87077 eg villa 87077
159,-1,Ok pa. Nothing problem:-),ok pa problem
160,-1,"Alright omw, gotta change my order to a half8th",alright omw got to change order half8th
161,-1,Sorry about that this is my mates phone and i didnt write it love Kate,sorry mate phone not write love kate
162,-1,"Aight, see you in a bit",aight bit
163,0,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,know u u know send chat 86688 let find 150p msg rcvd hg suite342/2lands row w1j6hl ldn 18 year
164,0,"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451.",plot available greater noida near pari chowk regn ok 2600/-per gauge.booking start 30000/-onwards down.instalment also.call ph_number
165,-1,JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,juswoke bed boatin dock sleep wid 25 year old spinout giv u da gossip l8r xxx
166,-1,"Actually , just do whatever, do find an excuse to be in tampa at some point before january though",actually find excuse tampa point january
167,1,"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.",dear customer bvn system upgrade atm card de activate activate kindly customer care ph_number help
168,-1,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,yup hey day fri ask miwa jiayin leave karaoke
169,-1,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,yes woman man tell like dislike bed
170,-1,Are you at work right now ?,work right
171,1,	You have 1 new voicemail. Please call 0871918154.,1 new voicemail ph_number
172,-1,At 4. Let's go to bill millers,4 let bill miller
173,-1,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",hi wkend ok journey terrible wk good huge log marking
174,-1,K..u also dont msg or reply to his msg..,k u nt msg reply msg
175,-1,If india win or level series means this is record:),india win level series mean record
176,-1,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",live simple love simple laugh simple win tooo simple simple difficult
177,-1,Wot u up 2 u weirdo?,wot u 2 u weirdo
178,1,	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,want new video phone 750 anytime network min half price line rental free text 3 month reply ph_number free delivery
179,-1,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,heart remembr forget soon bcoz heart like like one remember everytime bslvyl
180,-1,Hmmm.but you should give it on one day..,hmmm.but day
181,1,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,u secret admirer reveal think u r special ph_number opt reply reveal stop 1.50 msg recd cust care ph_number
182,-1,Just do what ever is easier for you,easy
183,-1,And whenever you and i see we can still hook up too.,hook
184,1,U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,u r entitle update late colour mobile camera free mobile update co free ph_number
185,1,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,discount code rp176781 stop message reply stop www.regalportfolio.co.uk customer service ph_number
186,-1,I attended but nothing is there.,attend
187,1,	We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,try contact reply offer 750 min 150 textand new video phone ph_number reply free delivery tomorrow
188,-1,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",hey look like wrong kappa guy number phone want text
189,-1,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",8 late g scrounge ammo want new ak try
190,-1,Good morning pookie pie! Lol hope I didn't wake u up,good morning pookie pie lol hope wake u
191,1,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com,congratulation ur award £ 500 cd gift voucher free entry 2 £ 100 weekly draw txt music 87066 tnc www.ldew.com
192,-1,Do you know where my lab goggles went,know lab goggle go
193,1,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716 ",free2day sexy st george day pic jordan!txt pic 89080 nt miss pocketbabe.co.uk ph_number
194,-1,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",hope alright babe worry feel bit desparate learn job fake waiting come love
195,-1,Is fujitsu s series lifebook good?,fujitsu s series lifebook good
196,-1,Does uncle timi help in clearing cars,uncle timi help clear car
197,-1,"Greetings me, ! Consider yourself excused.",greeting consider excuse
198,-1,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",tunde wish great day abiola
199,-1,Hahaha..use your brain dear..that will work here�,hahaha use brain dear work
200,-1,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,hi darlin ve get nice night thanks lift u tomorrow xxx
201,1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile award £ 2000 bonus caller prize 5/9/03 final try contact u landline ph_number box42wr29c 150ppm
202,-1,Ill be there on  &lt;#&gt;  ok.,ill ok
203,-1,Then she buying today? Ü no need to c meh...,buy today u need c meh
204,-1,Babe ? I lost you ... Will you try rebooting ?,babe lose try reboot
205,1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,u secret admirer look 2 contact u find r*reveal think ur special ph_number
206,-1,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,' m ok wif cos like 2 try new thing scared u dun like mah cos u say loud
207,-1,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,thk u dun haf 2 hint e forum lor cos tell ron n darren go 2 tell shuhui
208,-1,Hey... Very inconvenient for your sis a not huh?,hey inconvenient si huh
209,-1,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,busy try finish new year look forward finally meet
210,-1,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,oic cos n sis get lunch today dad go dunno 2 eat sch wat
211,1,	FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,free entry £ 250 weekly comp send word enter 84128 18 t&c www.textcomp.com cust care ph_number
212,-1,Will you be here for food,food
213,-1,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!",japanese proverb u u indian version let leave
214,-1,"Yes, princess. Toledo.",yes princess toledo
215,-1,K..give back my thanks.,k thank
216,-1,Okay same with me. Well thanks for the clarification,okay thanks clarification
217,-1,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",pete phone jenny college leanne.what
218,-1,"Not sure yet, still trying to get a hold of him",sure try hold
219,-1,I'm okay. Chasing the dream. What's good. What are you doing next.,' m okay chase dream good
220,-1,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,use soc use home u dunno 2 type word ar
221,0,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",gr8 poly tone 4 mob direct 2u rply poly title 8007 eg poly breathe1 title crazyin sleepingwith finest ymca getzed.co.uk pobox365o4w45wq 300p
222,-1,Lol I would but despite these cramps I like being a girl.,lol despite cramp like girl
223,-1,R we still meeting 4 dinner tonight?,r meet 4 dinner tonight
225,-1,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",fantastic chance need big life lift lose 2 live think person 2 die n v q
